bike_station_location,name,main_category,address,distance_away
"45.52914205,-122.6987028",Salt & Straw,Ice Cream Parlor,838 NW 23rd Ave,39
"45.52914205,-122.6987028",Papa Haydn,Dessert Shop,701 NW 23rd Ave,155
"45.52914205,-122.6987028",Bantam Tavern,Cocktail Bar,922 NW 21st Ave,337
"45.52914205,-122.6987028",Cinema 21,Movie Theater,616 NW 21st Ave,382
"45.52914205,-122.6987028",Trader Joe's,Grocery Store,2122 NW Glisan St,433
"45.52914205,-122.6987028",Casa Del Matador,American Restaurant,1438 NW 23rd Ave,458
"45.52914205,-122.6987028",Stepping Stone Cafe,Café,2390 NW Quimby St,487
"45.52914205,-122.6987028",Ken's Artisan Bakery,Bakery,338 NW 21st Ave,531
"45.52914205,-122.6987028",Breakside Brewery,Beer Bar,1570 NW 22nd Ave,559
"45.52914205,-122.6987028",New Seasons Market,Grocery Store,2170 NW Raleigh St,562
"45.54998583,-122.6756573",Bridge City Comics,Bookstore,3725 N Mississippi Ave,13
"45.54998583,-122.6756573",Pistils Nursery,Garden Center,3811 N Mississippi Ave,50
"45.54998583,-122.6756573",Control Voltage,Music Store,3742 N Mississippi Ave,46
"45.54998583,-122.6756573",Stormbreaker Brewing,Bar,832 N Beech St,52
"45.54998583,-122.6756573",Quaintrelle,Wine Bar,3936 N Mississippi Ave,148
"45.54998583,-122.6756573",Rebuilding Center,Retail,3625 N Mississippi Ave,148
"45.54998583,-122.6756573",Mississippi Pizza Pub,Pizzeria,3552 N Mississippi Ave,150
"45.54998583,-122.6756573",Psychic Bar,Bar,3560 N Mississippi Ave,138
"45.54998583,-122.6756573",Por Que No,Mexican Restaurant,3524 N Mississippi Ave,194
"45.54998583,-122.6756573",Bar Bar,Bar,3939 N Mississippi Ave,174
"45.55076344,-122.6668663",Eem,Cocktail Bar,3808 N Williams Ave,26
"45.55076344,-122.6668663",Crisp Restaurant & Catering,Salad Restaurant,3901 N Williams Ave,17
"45.55076344,-122.6668663",Life of Pie Pizza,Pizzeria,3632 N Williams Ave,146
